成語,解釋,例句,注音,字義,近義詞,反義詞,
心心念念,心裡一直存著想做某件事情或得到某樣東西的念頭。,上課時，安安心心念念想著炸豬排，答題時鬧出了笑話。,心心念念,,,,
雪中送炭,下雪時送炭給人取暖。比喻在別人急需之時給予幫助。,坡坡雪中送炭，幫忙把安安的炸豬排便當送到學校。,雪中送炭,,,,
心花怒放,心裡高興得像花朵盛開一樣。形容喜悅、興奮快活。,聽到廣播，安安馬上高興的心花怒放。,心花怒放,,,,
呆若木雞,呆得像木雕的雞一樣。形容因恐懼或驚訝而發愣。,安安發現自己忘了帶便當，整個人呆若木雞。,呆若木雞,,,,
神通廣大,原指法術廣大無邊，現形容本領極大，辦法極多。,故事中的齊天大聖孫悟空神通廣大，不但能呼風喚雨，還會七十二變。,神通廣大,,,黔驢技窮,
未卜先知,還沒有占卜就知道結果，形容有預知未來的能力。,據說諸葛亮能夠未卜先知，其實是因為他擁有豐富的知識和強大的推理能力。,未卜先知,卜：占卜、算卦。,,,
無可奈何,指沒有任何辦法，只好無奈的這樣做了。,有一隻小麻雀在颱風中受傷了，只見牠無可奈何的在地上拍打翅膀，卻怎麼也飛不起來。,無可奈何,,無計可施,,
無緣無故,毫無原因和理由。,他無緣無故的望著天空傻笑，不知道在高興什麼。,無緣無故,,平白無故,,
哄堂大笑,指滿屋子的人同時大笑起來。,小琪在才藝表演時講了一段精彩的笑話，引得臺下一陣哄堂大笑。,哄堂大笑,哄：形容眾人同時發聲。,,,
顧名思義,看到名稱，就聯想到它代表的意義。,「註生娘娘」顧名思義，就是掌管生育的神明。,顧名思義,顧：看。,,,
得心應手,原指技藝純熟，心裡怎麼想，手就能做出來。形容做事順手如意。,經過多年來的練習，小淵拿起球拍總是非常得心應手，打下一片江山。,得心應手,,游刃有餘,力不從心,
手舞足蹈,雙手舞動，雙腳也跳起來。形容非常高興欣喜。,玉婷看到自己的名字出現在理想學校的榜單上，興奮的手舞足蹈。,手舞足蹈,,,捶胸頓足,
不倫不類,既不像這一種，也不像那一類。形容不合規範或不像樣。,我們在不同的場合應有不同的談吐與表現，才不會顯得不倫不類。,不倫轐類,倫：類。,不三不四,,
不動聲色,內心的想法不從語氣和神態上表現出來。形容態度鎮定。,雖然已經知道犯人是誰，警察還是不動聲色的小心跟監，以掌握更多犯罪證據。,轐動聲色,,,大驚失色,
牽腸掛肚,形容非常掛念，放心不下。,你一直不回電話，只會讓他更加牽腸掛肚，放心不下。,牽腸掛肚,,,,
朝思暮想,不分日夜都在想。形容非常想念。,他對那輛跑車朝思暮想，每天都在努力工作存錢。,招思暮想,,,,
念念不忘,牢記在心，時刻不忘。,這趟西藏之旅的美景令我念念不忘，真想再去一次。,念念轐忘,,,,
揮之不去,趕也趕不走。指念頭、感覺等在心頭縈繞，排解不開。,車禍的痛苦回憶是他一生揮之不去的夢魘。,揮之轐去,,,,
魂牽夢縈,形容思念情切。,在外飄泊多年，今天他終於回到魂牽夢縈的故鄉。,魂牽夢縈,,,,
嗤之以鼻,用鼻子發出冷笑。表示輕蔑、看不起。,坡坡在回家的路上遇到一個戴鴨舌帽的人，他看起來有點可疑，還無緣無故對牠嗤之以鼻。,嗤之以鼻,,,,
東張西望,四處張望。,鴨舌帽男子一陣東張西望後，溜進了學校的化學實驗室。,東張西望,,,,
驚慌失措,驚恐慌亂，不知道該怎麼辦才好。,糟糕，失火了！同學們驚慌失措，石老師有條不紊的帶領大家前往安全地點避難。,驚慌失措,,,,
安然無恙,原指人平安沒有疾病，後泛指平平安安，沒有任何損傷。,坡坡把火澆熄，順利解除學校的火災警報，所有人都安然無恙。,安然無恙,,,,
奮不顧身,奮勇向前，不顧個人安危。,坡坡奮不顧身，衝到火堆旁邊救火。,奮轐顧身,,,,
名垂青史,好的名聲和事蹟載入史籍，永遠流傳。,學校為坡坡立了一座雕像，讓牠的英勇事蹟名垂青史。,名垂青史,,,,
立於不敗之地,處於不會失敗的境界。,過往在比賽中常立於不敗之地的隊伍，竟然出乎意料的敗給了無名小隊，令廣大球迷驚訝不已。,立於轐敗之地,,,,
尺有所短，寸有所長,尺和寸都是長度單位，雖然尺比寸長，但應用的場合不同，有時一尺會顯得太短，而一寸也有太長的時候。比喻人和事物各有所長，也各有所短。,尺有所短，寸有所長，同學們互相取長補短，就能一起進步。,尺有所短，寸有所長,,各有千秋,,
機不可失，時不再來,時機難求，不可錯過。,機不可失，時不再來，錯過這次逆轉勝的發球，球隊轉敗為勝的機會也化為泡影。,機不可失，時轐再來,機：時機。失：錯過。,,,
失之毫釐，差以千里,開始時差錯雖然很微小，但結果能造成很大的錯誤。,會計工作必須嚴謹認真，即使只錯了一個小數點，也會失之毫釐，差以千里。,失之毫釐，差以千里,失、差：錯誤。毫、釐：長度計量單位。,,,
一言既出，駟馬難追,一句話說出口，四匹馬拉的車也追不回。形容話已說出就無法收回，說了話就要算數。,一言既出，駟馬難追，我們之間的約定，我一定會達成。,億言既出，駟馬難追,駟：古代同拉一輛車的四匹馬。注意不要寫成「四」。,,,
匹夫有責,每個人都有責任。常與「天下興亡」連用。,「天下興亡，匹夫有責」，為國家分憂、勇於擔當，是每一個國民的責任和義務。,痞夫有責,匹夫：原指普通男性，後泛指百姓。,,,
左顧右盼,左看看、右看看。形容顧忌重重，遇事猶豫不決。,兩位同學為了誰先玩盪鞦韆而爭執不休，面對兩位好朋友，小玫左顧右盼，不知該幫誰才好。,左顧右盼,顧、盼：看。,東張西望,,
深居簡出,原指藏身在隱密、不易被發現的地方，很少出來。後指人時常待在家裡，很少出門。,叔叔大病一場後總算出院，便過著深居簡出的生活，專心休養身體。,深居簡出,,,拋頭露面,
雨後春筍,春天下雨後竹筍長得又快又多。比喻新事物大量出現。,近年來，我國科技領域的人才如雨後春筍般大量湧現。,雨後春筍,,比比皆是,九牛一毛,
琳瑯滿目,滿眼看到的都是美玉。比喻充滿了美好珍貴的事物。,玩具專賣店內的商品琳瑯滿目，讓我看花了眼。,琳瑯滿目,琳瑯：美玉。比喻優美珍貴的東西。,,,
如雷貫耳,好像雷聲傳入耳朵。形容人的名聲很大。,自從她得到奧運金牌後，在體育界已是如雷貫耳的人物。,如雷貫耳,,,,
家喻戶曉,每家每戶都知道。,登革熱的防範宣導要做到家喻戶曉，才能真正收到效果。,家喻戶曉,喻：明白，知曉。,名滿天下、眾所周知,不見經傳、沒沒無聞、聞所未聞,
遺臭萬年,壞名聲不停流傳，永遠被人唾罵。,他要真的賣國，豈不是遺臭萬年，讓後代子孫蒙羞了。,遺臭萬年,,,名垂青史、流芳百世、萬古流芳,
舉世矚目,全世界的人都注視著，吸引了每個人的注意力。,自從在去年奧運一舉奪得個人體操全能金牌後，她立刻成為舉世矚目的運動明星。,舉世矚目,,,,
流芳百世,好名聲可以流傳千百年。,為官若能兩袖清風，愛民如子，就會流芳百世，否則就有可能遺臭萬年。,流芳百世,,永垂不朽、名垂青史、萬古留芳,遺臭萬年,
名列前茅,名次列在前面。,林玲玲和歐陽哲的成績總是名列前茅。,名列前茅,,,,
大搖大擺,走路時故意把身體搖來擺去。形容高傲的模樣。,「新同學」坡坡大搖大擺的走進了教室。,大搖大擺,,,,
竊竊私語,偷偷在背地小聲交談。,下課時，同學們竊竊私語，討論著關於校長的大秘密。,竊竊私語,,,,
守口如瓶,閉嘴不說，像塞緊瓶口一樣。形容說話謹慎或嚴守秘密。,就在此時，大家也發現了坡坡的秘密，決定守口如瓶。,守口如瓶,,,,
頂天立地,頭頂蒼天，腳踏大地。形容形象高大，氣概豪邁。,傳說中，頂天立地的巨人盤古是從一團混沌之中誕生的。,頂天立地,,氣沖霄漢,,
鴻鵠之志,比喻人有像天鵝般一飛千里的高遠志向。,校長在畢業典禮上鼓勵所有畢業生，要有鴻鵠之志，朝著夢想努力不懈。,鴻鵠之志,鴻鵠：天鵝。,,胸無大志,
精忠報國,對國家竭盡忠誠，付出一切報效國家。,岳飛精忠報國的事蹟已是家喻戶曉的故事。,精忠報國,,,賣國求榮,
大義凜然,由於胸懷正義而神態莊嚴，令人敬畏。,面對敵人的威脅利誘，他大義凜然，無所畏懼。,大義凜然,大義：正義。,,,
視死如歸,把死看作是回家一樣稀鬆平常。多指為了正義而勇於犧牲自己的生命。,自從踏上戰場後，他就抱持著視死如歸的心態面對每一天。,視死如歸,歸：回去。,,貪生怕死,
鐵面無私,形容剛直公正，不畏權勢。,鐵面無私的「包青天」故事在民間廣為流傳，代表人們心中對公正的嚮往。,鐵面無私,,大公無私,徇私舞弊,
剛正不阿,剛強正直，不阿諛奉承。,王伯伯剛正不阿，是有口皆碑的好法官。,剛正不痾,阿：迎合。,,曲意逢迎,
一聲不響,一句話也不說，不發出聲音。,在學校考試期間，每間教室都一聲不響，學生們都專心一致的作答。,億聲不響,,默不作聲,,
無能為力,指沒有力量或能力來完成某事。,病一旦深入骨髓，幾乎沒有任何治療方式，連醫生也無能為力。,無能為力,,力不從心,,
膽戰心驚,形容十分害怕。,雲霄飛車高速從軌道往下俯衝時，我嚇得膽戰心驚，臉色發白。,膽戰心驚,戰：發抖。,心驚肉跳,,
首屈一指,彎曲手指計數時，會先彎下大拇指。表示位居第一。,老王是本公司首屈一指的業務員，業績十分出色。,首屈億指,,出類拔萃、名列前茅、無與倫比、超群數一數二,敬陪末座,
獨占鰲頭,原指考中了狀元。後比喻為居於首位。,他的運動細胞很發達，十項全能的多次比賽都是由他獨占鰲頭。,獨占鰲頭,,,,
出類拔萃,形容表現高出同類。,在我們的校友中，出了不少出類拔萃的科學家。,出類拔萃,萃：指聚在一起的人或物。,頭角崢嶸、鶴立雞群,,
金榜題名,指古代科舉中被殿試錄取。後泛指應試被錄取。,經過兩年的準備，她終於金榜題名，考上研究所。,金榜題名,,,,
名落孫山,比喻報考未中或選拔時未被錄取。,一次考試名落孫山有什麼關係？我要急起直追，下次非金榜題名不可。,名落孫山,,榜上無名,金榜題名、魚躍龍門,
當仁不讓,泛指遇到該做的事，積極主動去做且不退讓。,運動會報名，安安當仁不讓的報名了田徑比賽。,當仁轐讓,,,,
神采奕奕,形容精神飽滿，容光煥發。,運動會當天，安安高舉班級牌，神采奕奕的走過主席臺。,神采奕奕,,,,
後來居上,形容後來的人事物反而超越原本領先者。,安安後來居上，最終贏得了比賽。,後來居上,,,,
全力以赴,把全部的力量和精力都投注進去。,安安奮力追趕，在摔倒之後更是全力以赴。,全力以赴,,,,
得意忘形,原指取其精神而捨其形式。後也形容高興得失去常態。,田徑比賽時，遙遙領先的一班同學忍不住得意忘形。,得意忘形,,,,
遙遙領先,超越他人很多，有絕對的領先優勢。,跑在最前面的二號選手，一馬當先，已遙遙領先其他選手。,遙遙領先,,,,
人聲鼎沸,比喻人聲吵雜，就像鍋裡沸騰的水一樣。,安安代表班級上臺領獎，臺下歡聲雷動，人聲鼎沸。,人聲鼎沸,,,,
歡聲雷動,歡呼聲好像雷聲一樣響亮，形容場面熱烈。,當總統蒞臨國慶慶祝大會會場時，全場一片歡聲雷動。,歡聲雷動,,,,
魂飛魄散,形容驚恐萬分，不知如何是好。,妹妹突然從門後跳出來大叫一聲，把我嚇得魂飛魄散。,魂飛魄散,,泰然自若,,
喜出望外,出乎意料的喜悅。指遇到意外的喜事，心中非常高興。,沒想到在火車上竟然偶遇多年不見的大學同學，讓爸爸喜出望外。,喜出望外,望：希望、意料。,大喜過望,,
熱淚盈眶,激動得眼淚充滿了眼眶。形容非常激動的情緒。,每次回想起外婆生前對我的百般呵護與叮囑，我總忍不住熱淚盈眶。,熱淚盈眶,盈：充盈、充滿。,百感交集,,
欣喜若狂,欣喜得像發了狂。形容高興到極點。,看到爸爸買了我期待已久的百科圖鑑當作生日禮物，我禁不住欣喜若狂。,欣喜若狂,,,,
長途跋涉,遠距離翻山涉水。形容旅途的艱辛。,為了欣賞臺灣第一高峰的日出美景，小宇長途跋涉的挑戰攀登玉山。,長途跋涉,,跋山涉水,,
眉清目秀,比喻容貌端莊美麗。,鄰居家的小妹妹長得眉清目秀，嘴又特別甜，大家都很喜歡她。,眉清目秀,,,,
亭亭玉立,形容女子身材細長勻稱，或花木的姿態挺拔。,水面上盛開著一朵白蓮，好像一位亭亭玉立的少女。,亭亭玉立,,,,
明眸皓齒,雙眼明亮，牙齒潔白。形容女子的美貌。,這部電影的女主角明眸皓齒，氣質優雅，讓人過目難忘。,明眸皓齒,,青面獠牙,,
文質彬彬,人的文采和實質相配且適當。原形容人既文雅又樸實，後形容人舉止文雅，態度從容。,哥哥換了這副黑框眼鏡，顯得文質彬彬。,文質彬彬,,溫文爾雅,,
相貌堂堂,形容人的儀表端莊壯偉。,王叔叔相貌堂堂，心地也很善良。,相貌堂堂,,,,
容光煥發,臉上放出光彩。形容精神飽滿或身體健康。,持之以恆的運動，使她總是精神飽滿，容光煥發。,容光煥發,,,,
神采飛揚,形容神態煥發有神。活力充沛、神色自得的樣子。,她的企畫書得到上司的肯定，露出神采飛揚、得意之色。,神采飛揚,,,委靡不振,
精神抖擻,形容精神振奮，情緒飽滿。,,精神抖擻,,,,
無精打采,形容沒有精神、不振作的樣子。,昨晚熬夜，使他整天都一副無精打采的樣子。,無精打采,,,,
萎靡不振,形容消沉、頹喪，精神不振作。,自從經商失敗後，他成天藉酒消愁，萎靡不振。,威米轐振,,,,
大顯身手,充分展露自己的本領。,週五的社團活動中，石老師大顯身手表演了貝斯獨奏。,大顯身手,,,,
翩翩起舞,形容輕快的跳起舞。,林玲玲翩翩起舞，安安看得都入迷了。,翩翩起舞,,,,
多才多藝,具有多面向的才藝和技能。,最厲害的還是坡坡，多才多藝，無所不能。,多才多藝,,,,
字正腔圓,說或唱的字音準確，腔調圓潤動聽。,歐陽哲的詩詞朗誦字正腔圓，充滿感情。,字正腔圓,,,,
栩栩如生,形容非常逼真，像活的一樣。,金大鵰雕刻的坡坡雕像栩栩如生，安安差點認不出來。,栩栩如生,,,,
百發百中,形容射箭或射擊非常準確，每次都命中目標。比喻做事有充分把握，絕不落空。,安安終於發現了自己的特殊才能——投擲百發百中。,百發百中,,,,
威風凜凜,形容威武雄壯，很有氣派，氣勢逼人。,表哥入伍後穿上軍裝，顯得威風凜凜。,威風凜凜,凜凜：嚴肅而讓人敬畏。,,,
短小精悍,形容身材短小而精明強悍。也形容文章、戲劇等篇幅短而有力。,魯迅先生的雜文短小精悍，每一篇都讓人回味無窮。,短小精悍,,簡明扼要,長篇大論,
鶴髮童顏,頭髮像鶴的羽毛一樣白，臉色像兒童般紅潤。形容老人氣色和精神都極好。,公園裡教太極拳的王老先生鶴髮童顏，上課時總是精力充沛，看不出來已經七十歲了。,鶴髮童顏,,老當益壯,老態龍鍾,
慈眉善目,形容慈祥和善的樣子。,這位老婆婆生得慈眉善目，和藹可親。,慈眉善目,,,凶神惡煞,
老態龍鍾,形容年老體弱，行動不便。,病房裡走出一位老態龍鍾的老人，家人在一旁攙扶著他。,老態龍鍾,龍鍾：身體衰老、行動不靈活的樣子。,,鶴髮童顏,
海闊天高,形容天地十分遼闊，沒有邊界。比喻心胸開闊或無拘無束的樣子。亦可做「海闊天空」,他們把桌椅飯菜全都搬到門前，海闊天高的吃起飯來。,海闊天高,,,,
燈火輝煌,形容燈火通明，光輝燦爛的熱鬧景象。,這座山城是座不夜城，深夜依然燈火輝煌。,燈火輝煌,,,,
成千上萬,數量累積到千，高達萬。形容數量極大。,每年的跨年煙火秀都會吸引成千上萬的民眾前來觀賞。,成千上萬,成、上：達到。,不計其數,寥寥無幾,
光彩奪目,形容色彩鮮明亮眼，吸引目光。,今年的元宵燈節主燈搭配了雷射光雕技術，在夜晚看來格外光彩奪目。,光彩奪目,,,,
呼之欲出,形容畫像畫得逼真，好像呼喚一聲，人物就會從畫中走出來。泛指文學作品中人物描寫十分生動。也形容人、事即將揭曉。,在這本小說中，作者對人物描寫得非常貼切傳神，簡直到了呼之欲出的境界。,呼之欲出,,,,
活靈活現,形容描述、模仿的人或事物生動逼真。,這幅肖像畫得活靈活現。,活靈活現,,,,
躍然紙上,形容描寫或刻劃得十分生動逼真。,他的畫技高超，所畫的花鳥，莫不生動活潑，躍然紙上。,躍然紙上,,呼之欲出、活龍活現、活靈活現、栩栩如生、維妙維肖,,
維妙維肖,形容描寫或模仿得非常逼真。,他善於模仿名人，尤其是模仿政治人物的舉止，簡直維妙維肖。,維妙維肖,,,,
歷歷如繪,敘述、描寫生動，有如畫面就在眼前一樣。,這本小說的描寫十分生動，歷歷如繪，引人入勝。,歷歷如繪,,,,
侷促不安,舉止拘束不自然，心中不安。,今天是轉學的第一天，面對全然陌生的環境和同學，他顯得侷促不安。,侷促不安,侷促：拘束。,,落落大方,
一絲不苟,一點都不馬虎。形容辦事認真。,他十分重視清潔，過年前的大掃除一絲不苟，連窗緣上的灰塵都擦得一乾二淨。,億絲不苟,苟：苟且、馬虎。,,,
空空如也,原形容誠懇、虛心的樣子。現指一無所有。,經過百貨公司週年慶的洗禮，阿姨的錢包已空空如也。,空空如也,,,應有盡有,
不勝其煩,煩瑣得使人受不了。,只要餐桌上放了甜食，螞蟻大軍就會瘋狂進攻，怎麼趕也趕不走，令人不勝其煩。,不生其煩,勝：能夠承受。,,不厭其煩,
慢條斯理,形容說話或做事不慌不忙的樣子。,全家都趕著搭高鐵，只有弟弟慢條斯理，還在挑選要穿哪一雙鞋出門。,慢條斯理,,,風風火火,
津津有味,形容興味很濃或很有滋味。,全家準備一起去雲南旅遊，姊姊拿著一本《雲南美食》，看得津津有味。,津津有味,,,,
突如其來,突然到來或發生。,沒想到兩個突如其來的消息，讓媽媽和姊姊都不能參加這次的旅行了。,突如其來,,,,
見多識廣,比喻見識廣，閱歷深。,見多識廣的爸爸為安安介紹有趣的「雲南十八怪」。,見多識廣,,,,
精打細算,在使用人力、物力、財力時計算精細，避免浪費。,媽媽對旅費精打細算，錢都花在刀口上。,精打細算,,,,
自由自在,形容沒有拘束，十分安閒舒適。,他過得無憂無慮，自由自在。,自由自在,,無拘無束,身不由己,
耀武揚威,炫耀武力，顯示威風。,仗著自己的好朋友是風紀股長，他在班上耀武揚威，常常不把班規放在眼裡。,耀武揚威,耀：炫耀。,飛揚跋扈,,
神清氣爽,形容人神情清秀，氣質爽朗。也形容人神智清爽，心情舒暢。,微風從廣闊的日月潭上吹來，使人神清氣爽。,神清氣爽,神：精神。氣：人的精神狀態。,,,
金碧輝煌,形容建築物等物體顏色華麗，光彩耀眼。,這間飯店模仿古代的宮殿來建造，外表金碧輝煌，非常氣派。,金碧輝煌,金碧：金黃色和碧綠色。,富麗堂皇,,
綿延不絕,形容連接不斷。,秋天是芒草開花的季節，只見山上河邊開滿一片綿延不絕的浪漫芒花，吸引許多遊客前往觀賞。,綿延不絕,,,曇花一現,
情不自禁,感情激動，控制不住自己。,妹妹被媽媽冤枉偷拿零用錢，情不自禁的掉下淚來。,情轐自禁,禁：抑制。,,無動於衷,
小心翼翼,形容恭敬小心，完全不敢疏忽懈怠。,飛機駕駛員小心翼翼的確認起飛流程，以保障每位乘客的安全。,小心翼翼,翼翼：恭敬慎重的樣子。,,漫不經心,
驚恐萬分,非常驚慌害怕的樣子。,他永遠忘不了當年大地震時，人正在十層高的大樓上，四周人們都流露出驚恐萬分的神情。,驚恐萬分,萬分：非常、極度。,膽戰心驚,,
勢不可當,來勢迅猛，不可抵擋。,地震引起的海嘯捲起滔天巨浪，勢不可當的衝撞沿海房舍。,勢不可檔,當：抵擋。,勢如破竹,,
失魂落魄,像失去魂魄一樣。形容心神不寧、惶恐不安的樣子。,這次地震造成了嚴重災情，只見災民失魂落魄的站在殘破家園中，不知如何是好。,失魂落魄,,魂不守舍,,
博物洽聞,指知識廣博，見識多。,,博物洽聞,洽：廣博。,,,
真知灼見,正確而透澈的見解。,不愧是學有專精，他所提出的論點都是真知灼見,真知灼見,,,,
別具隻眼,另有一種獨到的眼光和見解。,,別具隻眼,,別具慧眼,,
別具慧眼,具有特殊的眼光或見解。,他當時獨排眾議，堅持買下這塊土地，如今看來，真可說是別具慧眼。,別具慧眼,,別具隻眼,,
博聞強識,見識、學識廣博，記憶力強。,身為圖書館員，小李不僅愛書，更是博聞強識，總能快速找到書目。,博聞強制,聞：見聞。,博聞強記、博學多聞、博古通今,孤陋寡聞、才疏學淺,
少見多怪,見識少的人遇見平常的事物也覺得十分驚奇，大為驚訝。,這種事經常發生，沒什麼稀奇，你就別少見多怪了。,少見多怪,,大驚小怪、蜀犬吠日,司空見慣、見怪不怪,
望眼欲穿,快把眼睛望穿了。形容急切盼望。,快放暑假了，安安每天望眼欲穿。,望眼欲穿,,望穿秋水、眼穿腸斷,不聞不問、無動於衷、漠不關心,
歸心似箭,形容想回家或返回原地的心情十分迫切。,老師一宣布放暑假，安安立刻歸心似箭，第一個衝出校門。,歸心似箭,,,,
日上三竿,太陽升起離地已有三根竹竿的高度，指時間已不早了。多用來形容人起床晚。,暑假第一天，安安就睡到日上三竿。,日上三竿,,,,
隨心所欲,一切都按照自己的心意，想做什麼就做什麼。,暑假裡，安安除了吃就是玩，整天隨心所欲。,隨心所欲,,,,
天之驕子,老天特別寵愛的人，即為得天獨厚的人。現指才華出眾，備受重視的人。,他家境優渥，學業成績名列前茅，在公司又受老闆喜愛，真是天之驕子！,天之驕子,驕子：寵兒。「驕」注意不要寫成「嬌」。,,,
異想天開,想要把天打開的奇異思想，原指不切實際的奇特想法，後也引申為奇特巧妙的想法。,我們偶爾需要一些異想天開的點子，才能為平淡無奇的生活增添新奇和樂趣。,異想天開,,,,
鬱鬱蔥蔥,草木蒼翠茂盛的樣子。,山道旁古木參天，鬱鬱蔥蔥，連飄落的雨滴也似乎被這片山景染綠了。,鬱鬱蔥蔥,,,,
姍姍來遲,形容緩慢晚來的樣子。,班上同學約好了放學後一起到班長家做科展海報，唯獨他一個人姍姍來遲。,姍姍來遲,姍姍：走得緩慢從容的樣子。,,爭先恐後,
變化多端,形容變化很多，使人難以掌握。,小戴的球路變化多端，對手很難預料該如何防守，造就他每戰必勝的傳奇。,變化多端,端：方面、項目。,變幻莫測,,
望穿秋水,把眼睛都望穿了。形容盼望得非常急切。,為了與自己的偶像見上一面，許多歌迷擠在電視臺門口望穿秋水地等待著，毫無怨言。,望穿秋水,秋水：比喻人的眼睛。,望眼欲穿,,
翹首引領,形容殷切的期待。,,橋首引領,翹首：抬起頭。,,,
翹足引領,踮起腳，伸長脖子，焦急的等待。形容熱切盼望。,,橋族引領,,,,
夢寐以求,睡夢中都在尋找追求。形容迫切的願望。,這是多少人夢寐以求的職位，你怎能輕易放棄呢？,夢寐以求,,朝思暮想,,
眼穿腸斷,形容盼望渴切，傷心極了。,,眼穿長段,,,,
滿載而歸,裝滿了東西回來。形容取得很大的收穫。,旅行結束，爸爸和安安滿載而歸。,滿載而歸,,,,
繪聲繪色,把人物的聲音、神色都描述出來。形容描述、描寫的生動逼真。,安安繪聲繪色的向媽媽和姊姊講起雲南的旅行見聞。,會生會色,,,,
業精於勤,學業的精深造詣來自勤奮。,姊姊暑假裡每一天都按照進度表認真學習，真是業精於勤。,業精於勤,,,,
玩物喪志,沉迷於玩賞喜好的事物而消磨了志氣。,安安每天玩物喪志，把暑假作業完全拋在腦後。,玩物喪志,,,,
手忙腳亂,形容驚慌失措或做事忙亂，沒有條理。,明天就要開學了，安安手忙腳亂的拚命趕作業，他來得及完成嗎？,手忙腳亂,,,,
不計其數,無法計算數量。形容極多。,在我們腳下的大地土壤中，生存著不計其數的生物，牠們的生活習性與地表常見的生物大不相同。,轐計其數,,不可勝數,屈指可數,
一夫當關，萬夫莫敵,形容地勢險要，易守難攻。,這座險峻的峽谷居高臨下，往來道路只有這一條，頗有一夫當關，萬夫莫敵的氣勢。,義夫當關，萬夫莫敵,,,,
熟能生巧,熟練了就能掌握技巧，運用自如，或找到竅門。,俗話說「熟能生巧」，只要不斷練習，就會有收穫。,熟能生巧,,游刃有餘,,
左右為難,形容不管怎麼做都有困難或不盡完美。,石老師正為了挑選參加成語大賽的選手而左右為難。,左右為難,,進退兩難,左右逢源,
喋喋不休,形容嘮嘮叨叨，說個不停。,王阿姨逢人就喋喋不休的誇讚自己兒子的成績有多好。,喋喋不休,,絮絮叨叨,三言兩語,
悠然自得,形容悠閒從容，心情舒暢。,綠色的草原上，牛羊正悠然自得的吃草。,悠然自得,自得：自覺得意舒適。,,疲於奔命,
